customerID,Network_Type,ARPU,Customer_Segment,Churn_Probability,Recommended_Action
5542-TBBWB,4G,69.9,Medium Value,0.9623238355902112,Immediate Outbound Call
2254-DLXRI,4G,79.15,Medium Value,0.8962367990997687,Immediate Outbound Call
6734-GMPVK,4G,105.3,High Value,0.8721334896386064,Immediate Outbound Call
7577-SWIFR,4G,89.25,High Value,0.8271806228664432,Immediate Outbound Call
4060-LDNLU,4G,96.2,High Value,0.8062742187503421,Immediate Outbound Call
2424-WVHPL,4G,74.7,Medium Value,0.8008243165697995,Immediate Outbound Call
0722-SVSFK,4G,100.4,High Value,0.7944646046816398,SMS Retention Offer
0021-IKXGC,4G,72.1,Medium Value,0.7814859530974565,SMS Retention Offer
1866-OBPNR,4G,74.6,Medium Value,0.7783553938232147,SMS Retention Offer
7145-FEJWU,4G,105.3,High Value,0.7747214257131034,SMS Retention Offer
1452-VOQCH,4G,75.1,Medium Value,0.7739937107377669,SMS Retention Offer
8040-MNRTF,4G,71.1,Medium Value,0.7726541415248931,SMS Retention Offer
1746-TGTWV,4G,75.35,Medium Value,0.7686006911083579,SMS Retention Offer
4132-KALRO,4G,100.85,High Value,0.7653514909369247,SMS Retention Offer
2920-RNCEZ,4G,69.95,Medium Value,0.7645853811473231,SMS Retention Offer
2754-SDJRD,4G,100.15,High Value,0.7554483793244486,SMS Retention Offer
3878-AVSOQ,4G,71.25,Medium Value,0.7525115941230974,SMS Retention Offer
3338-CVVEH,4G,94.55,High Value,0.7515366730819686,SMS Retention Offer
3292-PBZEJ,4G,111.4,High Value,0.7499436204301125,SMS Retention Offer
2135-DQWAQ,4G,85.3,High Value,0.7485080519955984,SMS Retention Offer
7243-LCGGZ,Voice Only,20.9,Low Value,0.7468349144529357,SMS Retention Offer
9840-EFJQB,4G,74.35,Medium Value,0.7466913179417836,SMS Retention Offer
4445-ZJNMU,4G,99.3,High Value,0.7418468751995843,SMS Retention Offer
1628-BIZYP,4G,85.0,High Value,0.7353445336645873,SMS Retention Offer
4395-PZMSN,4G,85.55,High Value,0.734492783739695,SMS Retention Offer
8687-BAFGU,4G,74.0,Medium Value,0.732902711540965,SMS Retention Offer
3422-GALYP,4G,79.45,Medium Value,0.7328749724092589,SMS Retention Offer
1777-JYQPJ,3G,24.3,Low Value,0.732019170361881,SMS Retention Offer
5168-MSWXT,4G,94.75,High Value,0.7318687215319631,SMS Retention Offer
5183-SNMJQ,4G,95.1,High Value,0.7302368082659182,SMS Retention Offer
4234-XTNEA,4G,79.95,Medium Value,0.7290405930674219,SMS Retention Offer
3050-GBUSH,3G,34.8,Low Value,0.7285492267291873,SMS Retention Offer
2215-ZAFGX,4G,85.5,High Value,0.727936538751864,SMS Retention Offer
7315-WYOAW,4G,100.75,High Value,0.7276602927189734,SMS Retention Offer
8734-DKSTZ,4G,85.95,High Value,0.721157076612406,SMS Retention Offer
4929-XIHVW,4G,95.5,High Value,0.7208113242820359,SMS Retention Offer
8242-SOQUO,4G,84.7,High Value,0.7192291320374453,SMS Retention Offer
8132-YPVBX,4G,85.95,High Value,0.7190095279455209,SMS Retention Offer
1960-UYCNN,4G,95.25,High Value,0.714157935327075,SMS Retention Offer
9957-YODKZ,4G,80.8,Medium Value,0.713452622575516,SMS Retention Offer
7426-RHZGU,4G,95.9,High Value,0.7131192118769998,SMS Retention Offer
2959-FENLU,4G,85.3,High Value,0.7119732355595626,SMS Retention Offer
8161-QYMTT,4G,94.1,High Value,0.7111982126643103,SMS Retention Offer
2038-OEQZH,4G,86.05,High Value,0.7085121029685524,SMS Retention Offer
5032-MIYKT,4G,70.7,Medium Value,0.7066484834201491,SMS Retention Offer
9121-PHQSR,4G,85.05,High Value,0.7054814946527082,SMS Retention Offer
7994-UYIVZ,4G,85.65,High Value,0.7007232166988223,SMS Retention Offer
3370-HXOPH,4G,76.1,Medium Value,0.6996864717507713,SMS Retention Offer
6350-XFYGW,4G,94.75,High Value,0.6990210413410495,SMS Retention Offer
7928-VJYAB,4G,90.6,High Value,0.6970319790007155,SMS Retention Offer
8775-ERLNB,4G,74.3,Medium Value,0.696409056041875,SMS Retention Offer
2468-SJFLM,4G,74.3,Medium Value,0.696409056041875,SMS Retention Offer
4884-ZTHVF,4G,87.1,High Value,0.6963794757553207,SMS Retention Offer
5989-PGKJB,4G,86.25,High Value,0.6960080229899198,SMS Retention Offer
1200-TUZHR,4G,85.2,High Value,0.6934341369042013,SMS Retention Offer
6496-JDSSB,4G,80.0,Medium Value,0.6933774847462381,SMS Retention Offer
3234-VKACU,3G,70.3,Medium Value,0.6928839664339509,SMS Retention Offer
6719-OXYBR,4G,85.3,High Value,0.6919428191236624,SMS Retention Offer
1941-HOSAM,4G,90.1,High Value,0.69031544381772,SMS Retention Offer
9753-OYLBX,Voice Only,20.5,Low Value,0.6886910551383053,SMS Retention Offer
1928-BXYIV,3G,61.15,Medium Value,0.6886414715225952,SMS Retention Offer
5760-FXFVO,4G,78.95,Medium Value,0.6882042449843414,SMS Retention Offer
6645-MXQJT,4G,97.1,High Value,0.6880855120859295,SMS Retention Offer
2789-HQBOU,4G,80.35,Medium Value,0.6872584834108565,SMS Retention Offer
3420-YJLQT,4G,79.55,Medium Value,0.687011651672468,SMS Retention Offer
7852-LECYP,4G,93.8,High Value,0.686784529421099,SMS Retention Offer
4912-PIGUY,4G,84.6,High Value,0.6861750619680681,SMS Retention Offer
5043-TRZWM,4G,75.55,Medium Value,0.6822621808774142,SMS Retention Offer
6137-NICCO,4G,94.05,High Value,0.6822350792941038,SMS Retention Offer
4273-MBHYA,4G,89.35,High Value,0.6822300734158935,SMS Retention Offer
9605-WGJVW,4G,70.2,Medium Value,0.6781129575199639,SMS Retention Offer
6786-OBWQR,4G,80.85,Medium Value,0.67800391196758,SMS Retention Offer
4686-UXDML,4G,99.85,High Value,0.6764654316203318,SMS Retention Offer
6229-LSCKB,4G,79.7,Medium Value,0.676364840200288,SMS Retention Offer
2984-AFWNC,4G,95.4,High Value,0.6761174018480459,SMS Retention Offer
9741-YLNTD,4G,87.95,High Value,0.6751753778509039,SMS Retention Offer
4741-WWJQZ,4G,80.15,Medium Value,0.6749737001413298,SMS Retention Offer
3914-FDRHP,4G,86.25,High Value,0.6726341454358346,SMS Retention Offer
9290-SHCMB,4G,96.85,High Value,0.6722056891528507,SMS Retention Offer
3644-QXEHN,4G,97.0,High Value,0.6722056891528507,SMS Retention Offer
6458-CYIDZ,4G,80.7,Medium Value,0.6719663992942303,SMS Retention Offer
7439-DKZTW,4G,80.55,Medium Value,0.6711421100588935,SMS Retention Offer
8087-LGYHQ,4G,94.05,High Value,0.6696363074516387,SMS Retention Offer
9617-INGJY,4G,70.6,Medium Value,0.6670602416148431,SMS Retention Offer
8309-IEYJD,4G,70.6,Medium Value,0.6670602416148431,SMS Retention Offer
2227-JRSJX,4G,99.15,High Value,0.6643227856877167,SMS Retention Offer
3130-ICDUP,4G,80.55,Medium Value,0.6623907197950908,SMS Retention Offer
1640-PLFMP,4G,70.25,Medium Value,0.6612393391170902,SMS Retention Offer
9708-KFDBY,Voice Only,20.55,Low Value,0.6575362932335433,SMS Retention Offer
7465-ZZRVX,4G,70.35,Medium Value,0.657168389449504,SMS Retention Offer
4813-HQMGZ,4G,90.25,High Value,0.6546996968486107,SMS Retention Offer
2988-PLAHS,3G,69.95,Medium Value,0.6540464578790685,SMS Retention Offer
5091-HFAZW,4G,91.15,High Value,0.6540382135525897,SMS Retention Offer
5150-ITWWB,4G,94.85,High Value,0.6538260237622012,SMS Retention Offer
7398-SKNQZ,4G,94.9,High Value,0.6538260237622012,SMS Retention Offer
6818-DJXAA,4G,91.1,High Value,0.6528847148476996,SMS Retention Offer
1393-IMKZG,4G,95.85,High Value,0.6518062316181867,SMS Retention Offer
4566-NECEV,4G,96.55,High Value,0.6499068387603292,SMS Retention Offer
0447-RXSGD,4G,99.65,High Value,0.6484689669614712,SMS Retention Offer
7379-FNIUJ,4G,100.2,High Value,0.6481493914944099,SMS Retention Offer
4847-TAJYI,4G,89.35,High Value,0.646217848151268,SMS Retention Offer
3916-NRPAP,4G,85.7,High Value,0.6437917763566696,SMS Retention Offer
6918-UMQCG,4G,80.2,Medium Value,0.6416745869108541,SMS Retention Offer
9093-FPDLG,4G,94.2,High Value,0.6416693813980051,SMS Retention Offer
6856-RAURS,4G,74.9,Medium Value,0.6415715260535066,SMS Retention Offer
3841-CONLJ,3G,35.0,Low Value,0.6409373923941603,SMS Retention Offer
9314-IJWSQ,4G,84.8,High Value,0.6407571464109213,SMS Retention Offer
6357-JJPQT,4G,80.5,Medium Value,0.6395717620092544,SMS Retention Offer
8118-TJAFG,4G,101.5,High Value,0.6380526475159045,SMS Retention Offer
1212-GLHMD,4G,86.05,High Value,0.6373155773328115,SMS Retention Offer
