customerID,Network_Type,tenure,Tenure_Decile,Contract,Revenue_Stability,ARPU,Monthly_Revenue_Velocity,Product_Density_Score,Subscriber_Status,LTV,Migration_Target_Label,Revenue_Weight,Customer_Segment
3373-YZZYM,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.2,19.20,1,Active,19.2,Retain,0.00004,Low Value
2520-SGTTA,Voice Only,0,1,Two year,Contractual (Stable),20,NULL,1,Active,0,Retain,0.00004,Low Value
1000-AJSLD,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.1,20.10,1,Churned/Inactive,20.1,Churn,0.00004,Low Value
5868-YTYKS,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.25,20.25,1,Active,20.25,Retain,0.00004,Low Value
2812-SFXMJ,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.05,20.05,1,Active,20.05,Retain,0.00004,Low Value
7839-QRKXN,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Churned/Inactive,20.2,Churn,0.00004,Low Value
3679-XASPY,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.45,19.45,1,Active,19.45,Retain,0.00004,Low Value
2576-HXMPA,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.55,19.55,1,Active,19.55,Retain,0.00004,Low Value
0970-QXPXW,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.65,19.65,1,Active,19.65,Retain,0.00004,Low Value
7644-OMVMY,Voice Only,0,1,Two year,Contractual (Stable),19.85,NULL,1,Active,0,Retain,0.00004,Low Value
6569-KTMDU,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.1,19.10,1,Active,19.1,Retain,0.00004,Low Value
5510-BOIUJ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.25,19.25,1,Churned/Inactive,19.25,Churn,0.00004,Low Value
9753-OYLBX,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.5,20.50,1,Active,20.5,Retain,0.00004,Low Value
6380-ARCEH,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Active,20.2,Retain,0.00004,Low Value
